accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.59,-0.63,0.56,-0.34,2.15,2.93
0.59,-0.63,0.55,0.03,2.40,2.78
0.59,-0.63,0.54,-0.05,1.95,2.64
0.59,-0.64,0.56,-0.52,1.56,2.79
0.58,-0.63,0.55,-0.99,0.93,2.85
0.58,-0.64,0.55,-0.89,1.34,2.78
0.58,-0.63,0.55,-0.82,1.89,2.72
0.59,-0.63,0.55,-0.31,2.20,2.49
0.59,-0.64,0.56,-0.34,2.20,2.23
0.58,-0.64,0.56,-0.93,1.77,2.24
0.59,-0.63,0.55,-1.68,1.95,2.05
0.59,-0.64,0.55,-1.83,2.34,1.82
0.58,-0.64,0.55,-0.93,2.09,1.36
0.59,-0.64,0.55,-1.07,1.30,1.86
0.58,-0.64,0.56,-2.27,1.34,2.26
0.58,-0.63,0.56,-2.32,1.66,1.48
0.59,-0.64,0.56,-1.95,2.18,1.28
0.60,-0.64,0.54,-1.54,1.94,1.53
0.60,-0.64,0.53,-1.88,1.59,1.59
0.59,-0.63,0.55,-1.98,-0.70,1.25
0.57,-0.62,0.56,-2.78,-1.16,0.81
0.57,-0.62,0.56,-2.03,-2.11,-0.14
0.58,-0.64,0.57,-2.05,-2.72,-0.76
0.59,-0.64,0.56,-2.82,-1.15,-0.75
0.58,-0.64,0.54,-2.76,-1.22,-0.43
0.58,-0.64,0.55,-1.74,-2.84,-0.61
0.57,-0.64,0.56,-2.26,-3.11,-0.76
0.58,-0.64,0.56,-3.85,-2.85,-0.56
0.57,-0.64,0.56,-4.09,-1.98,-0.66
0.58,-0.64,0.56,-3.25,-1.02,-0.52
0.59,-0.64,0.56,-2.43,-0.40,-0.31
0.59,-0.63,0.55,-2.15,-0.23,-0.06
0.59,-0.64,0.56,-2.82,-0.50,-0.24
0.59,-0.63,0.56,-3.36,-1.45,-0.24
0.59,-0.64,0.56,-3.47,-1.56,-0.35
0.59,-0.63,0.56,-2.17,-1.36,-0.24
0.59,-0.64,0.56,-1.51,-0.98,-0.32
0.59,-0.64,0.56,-1.34,-0.69,-0.53
0.59,-0.64,0.57,-0.75,-0.93,-0.67
0.60,-0.65,0.56,-2.23,-1.63,-0.89
0.60,-0.65,0.56,-3.11,-0.06,0.09
0.59,-0.64,0.56,-2.53,-0.21,-0.92
0.59,-0.63,0.54,-1.40,-0.23,-1.71
0.59,-0.63,0.55,-1.02,-1.82,-2.11
0.60,-0.64,0.55,-2.58,-3.74,-3.08
0.59,-0.64,0.56,-4.11,-3.77,-2.72
0.59,-0.64,0.55,-3.39,-2.67,-1.47
0.59,-0.63,0.55,-1.62,-3.02,-1.98
0.58,-0.64,0.55,-1.30,-2.67,-1.47
0.58,-0.64,0.54,-2.00,-2.85,-1.18
0.59,-0.64,0.54,-2.21,-4.43,-0.99
0.59,-0.63,0.56,-2.72,-5.02,-1.31
0.58,-0.64,0.56,-2.60,-3.05,-0.24
0.59,-0.63,0.56,-2.23,-1.98,0.02
0.60,-0.63,0.55,-1.71,-2.12,-0.61
0.60,-0.63,0.55,-1.66,-1.94,-0.76
0.60,-0.63,0.55,-2.14,-2.11,-0.56
0.59,-0.63,0.55,-2.32,-3.02,-0.05
0.59,-0.64,0.54,-2.46,-3.07,0.15
0.59,-0.63,0.55,-1.88,-2.43,0.40
0.59,-0.64,0.55,-1.37,-1.18,0.46
0.59,-0.63,0.55,-1.36,-0.69,0.79
0.59,-0.64,0.54,-1.76,-1.25,1.18
0.60,-0.64,0.54,-2.46,-2.12,0.84
0.59,-0.63,0.56,-2.89,-2.14,1.04
0.60,-0.64,0.55,-2.49,-0.78,1.04
0.59,-0.64,0.54,-2.44,-0.66,0.87
0.59,-0.64,0.54,-2.27,-1.36,0.72
0.60,-0.63,0.54,-2.78,-1.71,0.63
0.60,-0.64,0.54,-2.76,-1.76,0.43
0.60,-0.63,0.55,-2.44,-0.99,0.38
0.59,-0.63,0.54,-1.91,-0.49,0.53
0.59,-0.63,0.55,-2.14,-0.08,0.47
0.60,-0.64,0.55,-2.08,0.18,0.67
0.60,-0.63,0.54,-1.92,0.35,0.75
0.60,-0.64,0.55,-1.45,-0.06,1.10
0.60,-0.64,0.55,-2.06,-0.24,1.08
0.59,-0.63,0.55,-2.49,0.24,0.72
0.59,-0.64,0.55,-1.53,1.24,0.96
0.61,-0.65,0.54,-1.42,1.47,0.53
0.61,-0.64,0.52,-1.68,1.34,1.34
0.60,-0.63,0.55,-1.65,0.55,1.42
0.59,-0.63,0.55,-2.00,0.64,0.92
0.58,-0.62,0.56,-1.27,0.69,0.47
0.59,-0.63,0.56,-0.18,0.52,-0.09
0.59,-0.65,0.54,-1.59,2.46,0.84
0.59,-0.64,0.53,-2.46,2.69,1.48
0.59,-0.64,0.53,-1.76,1.51,1.05
0.59,-0.64,0.54,-0.70,1.11,1.08
0.58,-0.64,0.55,-1.77,0.82,1.08
0.58,-0.64,0.54,-2.41,0.02,1.13
0.58,-0.64,0.55,-2.37,1.08,1.56
0.60,-0.63,0.56,-1.57,1.68,1.95
0.60,-0.63,0.56,-1.48,2.49,1.68
0.59,-0.63,0.54,-1.85,1.59,1.71
0.59,-0.64,0.55,-2.37,-0.11,1.80
0.59,-0.64,0.55,-2.23,-0.84,1.71
0.60,-0.64,0.56,-1.31,-0.20,1.30
0.59,-0.63,0.55,-0.55,0.52,1.24
0.59,-0.64,0.55,0.00,-1.18,0.96
0.60,-0.64,0.56,-0.76,-0.92,1.25
0.59,-0.64,0.55,-0.92,0.15,0.85
0.60,-0.64,0.53,-1.34,-1.16,0.43
0.61,-0.64,0.55,-1.79,-0.96,0.38
0.59,-0.64,0.54,-1.60,-0.87,0.29
0.58,-0.64,0.56,-0.85,-0.92,-0.03
0.59,-0.63,0.55,-0.41,-1.68,-0.66
0.60,-0.63,0.56,-2.03,-0.93,-0.38
0.59,-0.64,0.54,-2.41,-0.03,0.38
0.59,-0.63,0.54,-1.45,-0.64,0.40
0.58,-0.64,0.55,-1.02,-0.34,1.01
0.58,-0.63,0.55,-1.54,-0.37,1.21
0.58,-0.63,0.54,-1.48,-0.67,0.92
0.59,-0.63,0.55,-1.21,-0.84,1.28
0.59,-0.63,0.56,-1.15,-0.15,1.74
0.60,-0.63,0.55,-0.95,0.55,1.98
0.59,-0.64,0.55,-1.01,1.01,2.05
0.59,-0.64,0.55,-1.01,0.89,1.91
0.60,-0.64,0.54,-1.11,0.56,2.03
0.59,-0.63,0.55,-1.33,0.38,1.73
0.59,-0.64,0.54,-1.31,0.02,1.53
0.59,-0.64,0.55,-1.40,0.05,1.40
0.59,-0.63,0.54,-1.33,0.09,1.31
0.59,-0.64,0.55,-1.25,0.52,0.96
0.59,-0.63,0.54,-1.30,0.56,0.90
0.59,-0.64,0.55,-1.34,0.12,0.78
0.59,-0.63,0.55,-1.79,0.43,0.92
0.59,-0.63,0.55,-2.15,0.35,1.05
0.59,-0.64,0.55,-1.82,0.66,0.87
0.59,-0.64,0.55,-1.36,0.93,0.72
0.58,-0.64,0.54,-1.27,0.34,0.56
0.59,-0.64,0.54,-1.71,0.21,0.58
