Filename,Direction
play_12.csv,play
alexa_17.csv,alexa
play_29.csv,play
still_29.csv,still
alexa_25.csv,alexa
still_36.csv,still
despacito_47.csv,despacito
alexa_29.csv,alexa
play_39.csv,play
beethoven_29.csv,beethoven
still_15.csv,still
despacito_12.csv,despacito
alexa_03.csv,alexa
despacito_41.csv,despacito
play_22.csv,play
beethoven_43.csv,beethoven
alexa_38.csv,alexa
still_07.csv,still
alexa_08.csv,alexa
beethoven_11.csv,beethoven
alexa_45.csv,alexa
despacito_24.csv,despacito
still_23.csv,still
alexa_40.csv,alexa
despacito_44.csv,despacito
despacito_30.csv,despacito
despacito_13.csv,despacito
still_33.csv,still
despacito_01.csv,despacito
beethoven_27.csv,beethoven
despacito_33.csv,despacito
still_31.csv,still
play_33.csv,play
alexa_00.csv,alexa
despacito_17.csv,despacito
play_18.csv,play
play_46.csv,play
alexa_44.csv,alexa
beethoven_04.csv,beethoven
still_10.csv,still
still_40.csv,still
play_09.csv,play
still_17.csv,still
still_43.csv,still
beethoven_34.csv,beethoven
still_06.csv,still
despacito_36.csv,despacito
alexa_47.csv,alexa
despacito_08.csv,despacito
beethoven_38.csv,beethoven
alexa_31.csv,alexa
alexa_01.csv,alexa
beethoven_25.csv,beethoven
play_04.csv,play
despacito_23.csv,despacito
beethoven_16.csv,beethoven
play_26.csv,play
play_43.csv,play
alexa_09.csv,alexa
play_01.csv,play
play_08.csv,play
despacito_26.csv,despacito
despacito_35.csv,despacito
alexa_18.csv,alexa
beethoven_47.csv,beethoven
play_00.csv,play
despacito_45.csv,despacito
play_20.csv,play
beethoven_21.csv,beethoven
despacito_03.csv,despacito
still_45.csv,still
still_27.csv,still
play_25.csv,play
despacito_40.csv,despacito
beethoven_40.csv,beethoven
despacito_16.csv,despacito
still_00.csv,still
beethoven_24.csv,beethoven
still_13.csv,still
beethoven_09.csv,beethoven
beethoven_00.csv,beethoven
play_02.csv,play
still_22.csv,still
play_15.csv,play
beethoven_18.csv,beethoven
play_28.csv,play
despacito_42.csv,despacito
still_32.csv,still
still_11.csv,still
beethoven_03.csv,beethoven
beethoven_37.csv,beethoven
alexa_43.csv,alexa
alexa_15.csv,alexa
despacito_09.csv,despacito
still_05.csv,still
beethoven_15.csv,beethoven
still_34.csv,still
still_37.csv,still
beethoven_06.csv,beethoven
still_20.csv,still
play_17.csv,play
beethoven_28.csv,beethoven
alexa_23.csv,alexa
alexa_11.csv,alexa
play_34.csv,play
beethoven_05.csv,beethoven
despacito_07.csv,despacito
despacito_18.csv,despacito
beethoven_44.csv,beethoven
play_07.csv,play
alexa_33.csv,alexa
play_13.csv,play
beethoven_14.csv,beethoven
play_45.csv,play
alexa_42.csv,alexa
beethoven_30.csv,beethoven
still_25.csv,still
beethoven_26.csv,beethoven
beethoven_35.csv,beethoven
despacito_43.csv,despacito
alexa_16.csv,alexa
play_27.csv,play
play_06.csv,play
still_14.csv,still
alexa_20.csv,alexa
still_12.csv,still
alexa_28.csv,alexa
alexa_14.csv,alexa
alexa_26.csv,alexa
beethoven_20.csv,beethoven
alexa_34.csv,alexa
still_16.csv,still
still_21.csv,still
beethoven_33.csv,beethoven
play_10.csv,play
despacito_22.csv,despacito
beethoven_23.csv,beethoven
play_03.csv,play
despacito_11.csv,despacito
still_38.csv,still
despacito_14.csv,despacito
still_08.csv,still
still_35.csv,still
play_11.csv,play
play_24.csv,play
beethoven_32.csv,beethoven
despacito_06.csv,despacito
alexa_27.csv,alexa
despacito_34.csv,despacito
play_40.csv,play
still_26.csv,still
despacito_05.csv,despacito
despacito_27.csv,despacito
alexa_22.csv,alexa
despacito_20.csv,despacito
still_02.csv,still
alexa_12.csv,alexa
beethoven_36.csv,beethoven
despacito_04.csv,despacito
play_21.csv,play
play_44.csv,play
alexa_10.csv,alexa
despacito_25.csv,despacito
despacito_21.csv,despacito
despacito_31.csv,despacito
despacito_37.csv,despacito
play_30.csv,play
alexa_41.csv,alexa
still_19.csv,still
play_38.csv,play
alexa_13.csv,alexa
despacito_46.csv,despacito
still_28.csv,still
beethoven_02.csv,beethoven
play_47.csv,play
still_47.csv,still
beethoven_39.csv,beethoven
alexa_35.csv,alexa
alexa_30.csv,alexa
play_16.csv,play
alexa_32.csv,alexa
still_44.csv,still
play_32.csv,play
alexa_05.csv,alexa
still_09.csv,still
beethoven_10.csv,beethoven
despacito_15.csv,despacito
beethoven_22.csv,beethoven
alexa_07.csv,alexa
play_31.csv,play
beethoven_08.csv,beethoven
beethoven_17.csv,beethoven
