accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.47,-0.08,0.95,-1.83,-0.64,0.35
0.48,-0.08,0.93,-1.65,-0.81,0.35
0.48,-0.08,0.95,-1.40,-0.37,0.09
0.47,-0.09,0.95,-1.51,-0.52,0.31
0.48,-0.08,0.95,-1.56,-0.84,0.43
0.48,-0.08,0.95,-1.56,-0.69,0.27
0.48,-0.08,0.95,-1.68,-0.67,0.52
0.48,-0.08,0.95,-2.00,-0.41,0.67
0.48,-0.08,0.96,-2.05,-0.11,0.84
0.47,-0.08,0.95,-1.85,0.12,0.63
0.47,-0.08,0.94,-1.60,0.02,0.98
0.47,-0.09,0.95,-1.56,-0.47,1.33
0.47,-0.08,0.95,-1.69,-0.79,1.54
0.48,-0.08,0.96,-1.68,-0.31,1.33
0.48,-0.08,0.96,-1.79,-0.09,1.27
0.48,-0.09,0.95,-1.62,0.56,0.70
0.49,-0.08,0.96,-1.63,0.79,0.85
0.48,-0.09,0.95,-2.08,-0.61,1.15
0.48,-0.09,0.96,-1.73,-1.15,1.18
0.48,-0.08,0.96,-1.79,-0.64,1.02
0.48,-0.08,0.94,-2.02,0.02,0.50
0.49,-0.08,0.95,-1.50,0.49,-0.06
0.49,-0.08,0.95,-1.65,0.69,0.37
0.49,-0.08,0.95,-1.01,0.27,1.30
0.48,-0.08,0.94,-0.93,-0.50,1.65
0.48,-0.08,0.94,-1.50,-1.51,1.39
0.48,-0.07,0.95,-1.45,-1.25,0.38
0.46,-0.08,0.94,-1.56,0.23,0.11
0.47,-0.09,0.95,-1.53,1.07,-0.56
0.47,-0.09,0.94,-1.33,1.63,-0.05
0.48,-0.09,0.96,-1.66,1.08,0.70
0.47,-0.09,0.95,-1.98,-0.21,1.22
0.47,-0.08,0.95,-2.31,-1.05,1.57
0.48,-0.08,0.95,-3.05,-1.05,1.31
0.48,-0.08,0.95,-3.48,-0.12,1.13
0.49,-0.08,0.95,-3.34,0.49,1.39
0.48,-0.08,0.95,-2.63,0.02,1.62
0.48,-0.09,0.95,-2.26,-0.46,1.45
0.48,-0.09,0.95,-1.82,-1.01,1.54
0.49,-0.08,0.96,-1.44,-0.93,1.47
0.49,-0.09,0.95,-1.11,-0.69,1.33
0.48,-0.09,0.95,-1.16,-0.84,0.66
0.48,-0.08,0.97,-1.42,-1.39,-0.09
0.49,-0.08,0.96,-1.04,-1.33,-0.79
0.49,-0.08,0.95,-1.33,-1.07,-0.90
0.49,-0.09,0.96,-1.65,-0.75,-0.20
0.48,-0.08,0.93,-2.21,-1.19,0.20
0.47,-0.07,0.96,-2.29,-1.79,0.61
0.48,-0.08,0.95,-1.88,-1.31,0.31
0.46,-0.07,0.95,-1.63,-0.93,-0.47
0.47,-0.08,0.95,-1.60,0.41,-1.16
0.48,-0.08,0.94,-1.79,1.02,-0.49
0.49,-0.09,0.95,-1.60,1.07,0.12
0.47,-0.09,0.95,-1.73,0.35,0.52
0.48,-0.08,0.95,-1.91,-0.40,0.52
0.48,-0.09,0.95,-2.34,0.00,0.67
0.48,-0.08,0.96,-2.27,0.23,0.92
0.48,-0.08,0.95,-2.55,0.81,1.15
0.48,-0.08,0.95,-2.85,0.78,1.08
0.48,-0.08,0.96,-2.64,0.44,1.15
0.48,-0.08,0.95,-2.55,-0.08,1.08
0.49,-0.08,0.95,-2.18,0.17,1.05
0.49,-0.08,0.95,-1.73,0.26,0.99
0.48,-0.08,0.96,-1.79,0.09,0.89
0.48,-0.09,0.95,-1.71,0.17,0.55
0.48,-0.08,0.96,-1.63,-0.67,0.53
0.49,-0.09,0.95,-1.60,-0.47,0.21
0.49,-0.08,0.95,-1.79,-0.72,0.06
0.48,-0.08,0.95,-1.83,-0.46,-0.31
0.48,-0.09,0.96,-2.09,-0.26,-0.60
0.48,-0.09,0.95,-1.86,-0.12,-0.89
